Security Code,Security Id,Security Name,Group,Face Value,Industry,INR
539819,MUDRA,Mudra Financial Services Ltd,XT,10,Other Financial Services,
539834,BALGOPAL,Balgopal Commercial Ltd,XT,10,Comm.Trading  &amp; Distribution,
539835,SUPERIOR,Superior Finlease Ltd,XT,10,Finance (including NBFCs),
539854,HALDER,Halder Venture Ltd,XT,10,Other Agricultural Products,
539864,GHUSHINE,Ghushine Fintrrade Ocean Ltd,M ,10,Textiles,
539873,BRONZE,Bronze Trading Ltd,Z ,10,Comm.Trading  &amp; Distribution,
539885,IPRU2812,ICICI PRUDENTIAL MUTUAL FUND- INDIA RECOVERY FUND CUMULATIVE SERIES,B ,10,,
539886,IPRU2813,ICICI PRUDENTIAL MUTUAL FUND-INDIA RECOVERY FUND- DIVIDEND PAYOUT OPTION- SE 5,B ,10,,
539887,IPRU9014,ICICI PRUDENTIAL MUTUAL FUND-DIRECT PLAN-CUMULATIVE OPTION-SERIES 5,B ,10,,
539888,IPRU9015,ICICI PRUDENTIAL MUTUAL FUND-DIRECT PLAN-DIVIDEND PAYOUT OPTION SERIES 5,B ,10,,
539894,MADHAVIPL,Madhav Infra Projects Ltd,XT,10,Construction &amp; Engineering,
539900,DIDL,Dalmia Industrial Development Ltd,XT,10,Comm.Trading  &amp; Distribution,
539909,GCL,Galaxy Commercial Ltd,XT,10,Finance (including NBFCs),
539911,SNIM,Svarnim Trade Udyog Ltd,XT,1,Comm.Trading  &amp; Distribution,
539927,LIKHAMI,Likhami Consulting Ltd,XT,10,Consulting Services,
539946,BAZELINTER,Bazel International Ltd,XT,10,Finance (including NBFCs),
539947,JLL,Jindal Leasefin Ltd,XT,10,Investment Companies,
539954,IPRU2821,ICICI PRUDENTIAL INDIA RECOVERY FUND SERIES 7 - DIVIDEND PAYOUT OPTION,B ,10,,
539955,IPRU9023,ICICI PRUDENTIAL INDIA RECOVERY FUND SERIES 7 - DIRECT PLAN - DIVIDEND PAYOUT OPTION,B ,10,,
